1,神田の最も多い読まれ方。（ひらがなで）,かんだ
2,アニメ「宇宙よりも遠い場所」の「宇宙」、何と読む？（ひらがなで）,そら
3,2023年3月に最終章が放送される超有名アニメ「〇〇の巨人」の〇〇を漢字で。,進撃
4,yukaFの読み方。（ひらがなで）,ゆか
5,井底之蛙の読み方（ひらがなで）,せいていのあ
6,モンスターハンター３Gのパッケージモンスターは？,ブラキディオス
7,神田拳児にとってのハヤシライスに乗っている卵とはどのような形状？（例：ゆで卵など）,スクランブルエッグ
8,神田拳児が好きな著書「また同じ夢を見ていた」の作者は誰？（ヒントは「君の膵臓を食べたい」と同じ作者。）,住野よる
9,APEXにおけるレイスのアルティメットアビリティの正式名称は？,ディメンジョンリフト
10,図鑑No477、てづかみポケモンに分類されるポケモンの名称。,ヨノワール
11,デュエルマスターズにおいて2010年6月に発売された拡張パックで新たな追加された墓地の横にある新たなゾーン。,超次元ゾーン
12,初代ウルトラマンを倒し、その後も事あるごとにこすられ映画でもメイン怪獣として暴れる怪獣の名前は？,ゼットン
13,2019年に死去したヒトリエのボーカルとしても活動した多大な功績を残したボカロPは？,wowaka
14,"ディエルマスターズで2007年12月22日発売された極神編第３弾超絶VS究極で登場した2マナパワー2000の光のブロッカー。バトルゾーンにある自分の他の「ブロッカー」を持つクリーチャーすべてのパワーは+3000される、をもつ小学校時代無双していたクリーチャーの名前は？（カタカナの部分だけでよい）
",ムルムル
15,俺が毛嫌いしている今期のアニメ「お隣の〇〇様にいつの間にか駄目人間にされていた件」の〇〇を漢字で。,天使
16,神田の好きな色。（例：赤色）,水色
17,おせさんの口癖の突っ込み「〇〇〇〇〇〇〇。」ひらがなで。,とはならんのよ
18,DAOKO×米津玄師も楽曲提供しているシャフト制作のアニメ映画「打ち上げ花火、〇〇〇〇〇〇〇〇〇〇〇〇〇〇」記号も含めて当てはまるように,下から見るか？横から見るか？
19,一時期ネット界隈を風靡した「止まるんじゃねえぞ・・・。」は誰のセリフか。,オルガ
20,ワンピースにおけるルフィが食べていた悪魔の実は実はゴムゴムのみではなく、ヒトヒトの実幻獣種〇〇〇〇〇。,モデルニカ
21,神田拳児はたくみさんによく殺害予告されるが、そのときの彼の決まり文句。「〇○〇〇〇〇〇〇〇。」○は小文字で全部ひらがな,いっかいしんでくれ
22,APEX界のCEOといえば？英語で大文字のところは大文字で完答,ImperialHal
23,神田拳児の体の99％は何でできている？,やさしさ
24,女とは生きる屑である。〇か×か,〇
25,復活した超完全体セルを完全に倒しきった技。漢字とひらがなで,親子かめはめ波
26,神田拳児がＡＰＥＸで良いプレーをしたときに自画自賛として放つ言葉。「〇〇○〇ー！！」カタカナで空欄に当てはまるように,クリッピ
27,映画サマーウォーズにおけるボスの名前。,ラブマシーン
28,2021年のALGS、APACNにおいて突如現れたコースティック、ローバ、クリプトで盗賊ムーブをして環境を荒らしまわり、世界大会への切符も手に入れていたエンタメチームとは？半角で,456
29,神田拳児の誕生日。（例：１月１日）全角で,７月１２日
30,2007年8月31日にクリプトン・フューチャー・メディアから発売されているDTM用の音声合成ソフト、およびそのキャラクターで「電子の歌姫」の二つ名でも知られるバーチャルシンガーとは。,初音ミク
31,昭和と平成の移り変わりは何年？,1989年
32,ですが、その時の昭和６４年は何日間だったでしょう？,７日間
33,今年見せた神田拳児がパジャマ姿で徒歩１分のスーパーまで人目を気にせずダッシュして通報される危険を冒してまで買ってきたものとは？漢字で,人参
34,俺たちの代の廿校サッカー部において、部室から出てくる順番が遅い三銃士の苗字、五十音順に漢字ですべて答えよ。人物の間には「、」を入れて,属、神田、柳川
35,今までに類を見ない１時間半遅れた挙句５０曲以上をぶっつづけで歌い続けさせられたカラオケデートにて、RADWIMPSを２１曲メドレーで歌い続けた後に神田がどっちを良い？と彼女に問いかけたAlexandrosと天秤にかけたアーティストは？正式名称で,Mrs.GREEN APPLE
36,廿校の修学旅行にて徳間さんがある動物を撮って放ったくそつまらない一芸の文言。「〇〇〇〇〇」ひらがなで,くまとくま
37,神田拳児が現在住んでいる市の名前。（例：〇〇市）,福山市
38,「死ねばわかる。」というキャッチフレーズで実写映画にもなり、2021年2月に完結した神田を唸らせた大変すばらしい漫画は？,亜人
39,株式会社ドワンゴが設立した動画サイトで、2007年～2010年辺りにピークを迎え、後はYoutubeに大敗した敗北者動画投稿サイトは？,ニコニコ動画
40,道路交通法を守っていながらも飛び出してきた子どもを轢いてしまった神田が言いそうな一言「まあ、〇〇〇〇〇〇〇〇○。」空欄に当てはまるように,こいつが悪いしなぁ
41,主に異世界転生系が我が物顔で闊歩しているが、そこに投稿されているだいたいの作品がごみの掃きだめである小説投稿サイトの名前は？,小説家になろう
42,神田拳児が現在付き合っている彼女の苗字。,山岡
43,現在ヨルシカで作詞作曲編曲を行っている「背景、夏に溺れる」などを作曲した有名元ボカロPは？,n-buna
44,属さんの大のお気に入りで、ゲームの名前にもよく勝手に使っていた「アスノヨゾラ哨戒班」など有名な曲を数多く輩出したボカロPは？正式名称で,Orangestar
45,2022年夏に行われたALGSにてポーランドルールにも関わらず決勝でルールを知らないかのような大暴れをし、見事MVPを獲得したことでトレーラーハウスから脱却。何万人もの視聴者を手に入れ人生を大逆転させた選手。,HisWattson
46,神田拳児がよくがくやさんから諦めの境地として言われている言葉「まあ、〇〇〇○〇〇ですから。」○は小文字、空欄に当てはまるように,人間じゃない
47,まんさんが性的価値の高い10代・20代の時に自らの意思で性を売り物にして金を稼ぎ、後に歳を重ね性的価値が低下した際には、性を売り物にしていた経験を「搾取されていた」などと表現して、いわゆる被害者ビジネスを展開することで再び金を稼ぐことを指すネットスラング。,まんこ二毛作
48,おせさんがけいご君に対して呼ぶ別称。ひらがなで,けいば
49,神田が創作において一番重要視していること。,演出
50,神田拳児にとってゴミとは？ひらがなで,たくみ
51,もじゃのくせっけを当時バカにしていたくせに大学生デビューした途端にチリチリヘアーにしている大学生を見てもじゃがいつも言っていること。「俺のこと〇〇〇〇○〇〇だろ。」,羨ましかったん
52,神田がバカ人狼で徳間さんにサービス問題を作って貰ったにもかかわらず、問題の「DAOKO×米津玄師の打ち上げ」の部分しか読んでおらず、てっきりその映画のタイトルかと早合点して回答し、そのあまりの意味わからなさに徳間さんにあざ笑われた回答とは。,見るか
53,機動戦士ガンダムの宇宙世紀シリーズに登場する人類の進化系と呼ばれる第六感を持っている新たな人類の名前。,ニュータイプ
